Country Name,"GDP per capita, PPP (constant 2011 international $)","Population, total"
Afghanistan,1820.304303,32526562
Albania,10397.28739,2889167
Algeria,13822.56622,39666519
American Samoa,,55538
Andorra,,70473
Angola,6937.006266,25021974
Antigua and Barbuda,21615.30668,91818
Argentina,..,43416755
Armenia,7899.28441,3017712
Aruba,,103889
Australia,43654.58052,23781169
Austria,43892.72954,8611088
Azerbaijan,16695.38942,9651349
The Bahamas,22394.31356,388019
Bahrain,44182.03764,1377237
Bangladesh,3136.561069,160995642
Barbados,15425.73681,284215
Belarus,16621.03344,9513000
Belgium,41138.38336,11285721
Belize,8024.844341,359287
Benin,1985.613853,10879829
Bermuda,,65235
Bhutan,7601.36891,774830
Bolivia,6475.741503,10724705
Bosnia and Herzegovina,10023.56017,3810416
Botswana,14876.33174,2262485
Brazil,14454.93732,207847528
British Virgin Islands,,30117
Brunei Darussalam,66647.16564,423188
Bulgaria,16956.40907,7177991
Burkina Faso,1561.521915,18105570
Burundi,692.6739312,11178921
Cabo Verde,6295.901426,520502
Cambodia,3278.221215,15577899
Cameroon,2938.776214,23344179
Canada,42890.8811,35851774
Cayman Islands,,59967
Central African Republic,562.1929716,4900274
Chad,2043.544231,14037472
Channel Islands,,163692
Chile,22145.09481,17948141
China,13400.26697,1371220000
Colombia,12988.1677,48228704
Comoros,,788474
Congo- Dem. Rep.,736.6802449,77266814
Congo- Rep.,5993.153101,4620330
Costa Rica,14471.78641,4807850
Cote d'Ivoire,3289.988043,22701556
Croatia,20429.99271,4224404
Cuba,,11389562
Curacao,,158040
Cyprus,30309.63483,1165300
Czech Republic,29805.33278,10551219
Denmark,43415.22942,5676002
Djibouti,,887861
Dominica,10613.86042,72680
Dominican Republic,13374.90875,10528391
Ecuador,10717.59861,16144363
Egypt- Arab Rep.,10249.95791,91508084
El Salvador,8095.558984,6126583
Equatorial Guinea,28271.79525,845060
Eritrea,,
Estonia,26929.66404,1311998
Ethiopia,1529.893783,99390750
Faroe Islands,,48199
Fiji,8619.687034,892145
Finland,38642.81235,5482013
France,37305.69062,66808385
French Polynesia,,282764
Gabon,18831.90124,1725292
Gambia- The,,1990924
Georgia,9109.256977,3679000
Germany,44053.06812,81413145
Ghana,3953.21018,27409893
Gibraltar,,32217
Greece,24617.03733,10823732
Greenland,,56114
Grenada,12203.42474,106825
Guam,,169885
Guatemala,7252.949966,16342897
Guinea,1135.48655,12608590
Guinea-Bissau,1367.298905,1844325
Guyana,7064.450024,767085
Haiti,1658.413203,10711067
Honduras,4785.086301,8075060
Hong Kong SAR- China,53379.73681,7305700
Hungary,24474.48885,9844686
Iceland,42449.18713,330823
India,5730.137505,1311050527
Indonesia,10385.32332,257563815
Iran- Islamic Rep.,,79109272
Iraq,14017.77379,36423395
Ireland,51899.19989,4640703
Isle of Man,,87780
Israel,31670.69432,8380400
Italy,33587.12264,60802085
Jamaica,8528.896333,2725941
Japan,35804.2312,126958472
Jordan,10239.66428,7594547
Kazakhstan,24352.8462,17544126
Kenya,2901.012941,46050302
Kiribati,1749.204476,112423
Korea- Dem. People’s Rep.,,25155317
Korea- Rep.,34386.57488,50617045
Kosovo,9140.101399,1797151
Kuwait,67112.99552,3892115
Kyrgyz Republic,3224.877613,5957000
Lao PDR,5341.30792,6802023
Latvia,22628.43727,1978440
Lebanon,13117.25072,5850743
Lesotho,,2135022
Liberia,786.916697,4503438
Libya,13320.82618,6278438
Liechtenstein,,37531
Lithuania,26396.86808,2910199
Luxembourg,93552.60435,569676
Macao SAR- China,104718.2625,587606
Macedonia- FYR,12724.67528,2078453
Madagascar,1373.344023,24235390
Malawi,1112.987302,17215232
Malaysia,25308.0193,30331007
Maldives,11892.45882,409163
Mali,2285.307216,17599694
Malta,,431333
Marshall Islands,,52993
Mauritania,,4067564
Mauritius,18333.4202,1262605
Mexico,16501.9411,127017224
Micronesia- Fed. Sts.,,104460
Moldova,4741.824603,3554150
Monaco,,37731
Mongolia,11470.90486,2959134
Montenegro,15010.48497,622388
Morocco,7360.856457,34377511
Mozambique,1115.992707,27977863
Myanmar,,53897154
Namibia,9800.779947,2458830
Nauru,,10222
Nepal,2313.392778,28513700
Netherlands,46374.36827,16936520
New Caledonia,,273000
New Zealand,34762.35232,4595700
Nicaragua,4884.150761,6082032
Niger,897.3953205,19899120
Nigeria,5638.887379,182201962
Northern Mariana Islands,,55070
Norway,64450.53861,5195921
Oman,35982.75325,4490541
Pakistan,4744.848617,188924874
Palau,14385.96881,21291
Panama,20885.33945,3929141
Papua New Guinea,,7619321
Paraguay,8643.687633,6639123
Peru,11672.14235,31376670
Philippines,6925.521324,100699395
Poland,24835.89804,37999494
Portugal,26690.06482,10348648
Puerto Rico,,3474182
Qatar,135321.6922,2235355
Romania,19925.53855,19832389
Russian Federation,23895.341,144096812
Rwanda,1655.175355,11609666
Samoa,5574.067711,193228
San Marino,,31781
Sao Tome and Principe,,190344
Saudi Arabia,50283.97349,31540372
Senegal,2287.668448,15129273
Serbia,12863.07931,7098247
Seychelles,25667.55405,92900
Sierra Leone,1496.944168,6453184
Singapore,80191.53931,5535002
Sint Maarten (Dutch part),,38817
Slovak Republic,27394.19738,5424050
Slovenia,28941.86586,2063768
Solomon Islands,2057.555707,583591
Somalia,,10787104
South Africa,12389.95681,54956920.37
South Sudan,1741.098114,12339812
Spain,32814.45207,46418269
Sri Lanka,11047.66697,20966000
St. Kitts and Nevis,22934.46049,55572
St. Lucia,10343.56425,184999
St. Martin (French part),,31754
St. Vincent and the Grenadines,10379.08651,109462
Sudan,3927.488294,40234882
Suriname,15970.34328,542975
Swaziland,7930.358126,1286970
Sweden,45296.45618,9798871
Switzerland,55111.97693,8286976
Syrian Arab Republic,,18502413
Tajikistan,2616.191272,8481855
Tanzania,2510.235057,53470420
Thailand,15345.35559,67959359
Timor-Leste,2126.04369,1245015
Togo,1373.84087,7304578
Tonga,,106170
Trinidad and Tobago,30677.16451,1360088
Tunisia,10726.14232,11107800
Turkey,18958.62498,78665830
Turkmenistan,15527.40393,5373502
Turks and Caicos Islands,,34339
Tuvalu,,9916
Uganda,1717.829206,39032383
Ukraine,7449.767985,45198200
United Arab Emirates,66102.19177,9156963
United Kingdom,38657.78827,65138232
United States,52549.00652,321418820
Uruguay,19952.25325,3431555
Uzbekistan,5642.823578,31299500
Vanuatu,,264652
Venezuela- RB,15602.89237,31108083
Vietnam,5667.998051,91703800
Virgin Islands (U.S.),,103574
West Bank and Gaza,4714.924621,4422143
Yemen- Rep.,,26832215
Zambia,3657.55931,16211767
Zimbabwe,1687.976025,15602751